country,latitude,longitude,networkDomain,date,users,newUsers,sessions,bounceRate,sessionDuration,YearMonth
(not set),0.0000,0.0000,Other,2013-12-04,2,0,3,0,2265,201312
(not set),0.0000,0.0000,Other,2013-12-05,1,0,3,66.66666666666666,1376,201312
(not set),0.0000,0.0000,Other,2013-12-06,3,1,3,33.33333333333333,1994,201312
(not set),0.0000,0.0000,Other,2013-12-09,3,3,3,33.33333333333333,682,201312
(not set),0.0000,0.0000,Other,2013-12-10,1,1,3,0,1398,201312
(not set),0.0000,0.0000,Other,2013-12-11,1,1,1,100,0,201312
(not set),0.0000,0.0000,Other,2014-09-04,1,1,1,100,0,201409
(not set),0.0000,0.0000,Other,2015-03-17,12,12,12,100,0,201503
(not set),0.0000,0.0000,Other,2015-03-18,2,2,2,100,0,201503
(not set),0.0000,0.0000,Other,2015-03-20,2,2,2,100,0,201503
(not set),0.0000,0.0000,Other,2015-03-22,4,4,4,100,0,201503
(not set),0.0000,0.0000,Other,2015-03-24,7,7,7,100,0,201503
(not set),0.0000,0.0000,Other,2015-03-25,16,16,16,100,0,201503
(not set),0.0000,0.0000,Other,2015-03-26,6,6,6,100,0,201503
(not set),0.0000,0.0000,Other,2015-03-27,7,7,7,100,0,201503
(not set),0.0000,0.0000,Other,2015-03-29,3,3,3,100,0,201503
(not set),0.0000,0.0000,Other,2015-03-30,4,4,4,100,0,201503
(not set),0.0000,0.0000,Other,2015-04-01,2,2,2,100,0,201504
(not set),0.0000,0.0000,Other,2015-04-02,2,2,2,100,0,201504
(not set),0.0000,0.0000,Other,2015-04-03,8,8,8,100,0,201504
(not set),0.0000,0.0000,Other,2015-04-21,1,1,1,0,96,201504
(not set),0.0000,0.0000,Other,2015-04-25,1,1,1,100,0,201504
(not set),0.0000,0.0000,Other,2015-04-28,3,3,3,0,230,201504
(not set),0.0000,0.0000,Other,2015-05-03,1,1,1,100,0,201505
(not set),0.0000,0.0000,Other,2015-05-07,1,1,1,0,0,201505
(not set),0.0000,0.0000,Other,2015-05-21,1,1,1,0,0,201505
(not set),0.0000,0.0000,Other,2015-05-28,2,2,2,100,0,201505
(not set),0.0000,0.0000,Other,2015-05-30,5,5,5,100,0,201505
(not set),0.0000,0.0000,Other,2015-06-02,2,2,2,100,0,201506
(not set),0.0000,0.0000,Other,2015-06-03,11,11,11,90.9090909090909,0,201506
(not set),0.0000,0.0000,Other,2015-06-04,8,8,8,100,0,201506
(not set),0.0000,0.0000,Other,2015-06-06,3,3,3,100,0,201506
(not set),0.0000,0.0000,Other,2015-06-07,7,7,7,100,0,201506
(not set),0.0000,0.0000,Other,2015-06-08,1,1,1,100,0,201506
(not set),0.0000,0.0000,Other,2015-06-09,7,7,7,100,0,201506
(not set),0.0000,0.0000,Other,2015-06-10,4,4,4,100,0,201506
Algeria,0.0000,0.0000,Other,2015-04-01,1,1,1,100,0,201504
Algeria,0.0000,0.0000,Other,2015-06-10,1,1,1,100,0,201506
Andorra,42.5063,1.5218,Other,2014-02-14,1,1,1,100,0,201402
Argentina,-33.8881,-60.5693,Other,2015-05-26,1,1,1,100,0,201505
Argentina,-34.6037,-58.3816,Other,2014-02-20,1,1,1,100,0,201402
Argentina,-34.6037,-58.3816,Other,2015-03-24,1,1,1,100,0,201503
Argentina,-34.6037,-58.3816,Other,2015-05-30,1,1,1,100,0,201505
Argentina,-34.6037,-58.3816,Other,2015-06-06,1,1,1,100,0,201506
Armenia,40.1833,44.5167,Other,2014-06-21,1,1,1,100,0,201406
Australia,-26.6560,153.0918,Other,2014-08-11,1,1,1,0,15,201408
Australia,-26.6560,153.0918,Other,2015-06-04,1,0,1,0,0,201506
Australia,-27.4710,153.0235,Other,2014-05-05,1,1,1,100,0,201405
Australia,-27.4710,153.0235,Other,2014-06-09,1,1,1,0,256,201406
Australia,-27.4710,153.0235,Other,2014-06-10,1,1,1,0,60,201406
Australia,-27.4710,153.0235,Other,2014-10-06,1,1,1,100,0,201410
Australia,-27.4710,153.0235,Other,2014-10-15,1,0,1,0,196,201410
Australia,-27.4710,153.0235,Other,2014-11-05,1,1,1,100,0,201411
Australia,-27.4710,153.0235,Other,2015-02-17,1,1,1,0,1,201502
Australia,-27.4710,153.0235,Other,2015-03-25,1,1,1,100,0,201503
Australia,-27.4710,153.0235,Other,2015-04-29,1,1,1,0,12,201504
Australia,-27.4710,153.0235,Other,2015-02-10,1,1,1,0,0,201502
Australia,-27.4710,153.0235,Other,2013-10-14,1,1,1,100,0,201310
Australia,-27.4710,153.0235,Other,2015-03-22,1,1,1,0,0,201503
Australia,-27.4710,153.0235,Other,2014-06-09,1,1,1,100,0,201406
Australia,-27.4710,153.0235,Other,2014-06-12,2,2,2,100,0,201406
Australia,-27.4710,153.0235,Other,2014-06-13,2,2,2,50,306,201406
Australia,-27.4710,153.0235,Other,2014-06-20,1,1,1,0,21,201406
Australia,-27.4710,153.0235,Other,2014-07-14,2,2,2,50,1232,201407
Australia,-27.4710,153.0235,Other,2014-07-30,1,1,1,100,0,201407
Australia,-27.4710,153.0235,Other,2014-07-31,2,2,2,50,37,201407
Australia,-27.4710,153.0235,Other,2014-08-01,1,1,1,0,40,201408
Australia,-27.4710,153.0235,Other,2014-08-03,1,0,1,0,238,201408
Australia,-27.4710,153.0235,Other,2014-08-04,1,1,1,0,120,201408
Australia,-27.4710,153.0235,Other,2014-08-05,7,7,7,85.71428571428571,106,201408
Australia,-27.4710,153.0235,Other,2014-08-06,3,3,3,66.66666666666666,38,201408
Australia,-27.4710,153.0235,Other,2014-08-07,1,1,1,100,0,201408
Australia,-27.4710,153.0235,Other,2014-08-08,2,2,2,50,128,201408
Australia,-27.4710,153.0235,Other,2014-09-29,1,0,1,100,0,201409
Australia,-27.4710,153.0235,Other,2014-10-15,1,1,1,0,5,201410
Australia,-27.4710,153.0235,Other,2015-01-28,1,1,1,100,0,201501
Australia,-27.4710,153.0235,Other,2015-04-01,1,1,1,0,13,201504
Australia,-27.4710,153.0235,Other,2015-06-04,2,1,2,0,413,201506
Australia,-27.4710,153.0235,Other,2014-08-16,1,0,2,0,24,201408
Australia,-27.4710,153.0235,Other,2014-08-17,1,0,1,0,304,201408
Australia,-27.4710,153.0235,Other,2014-09-12,2,1,3,33.33333333333333,42,201409
Australia,-27.4710,153.0235,Other,2014-09-15,2,0,2,0,364,201409
Australia,-27.4710,153.0235,Other,2014-09-22,1,0,1,100,0,201409
Australia,-27.4710,153.0235,Other,2014-10-02,1,0,1,0,74,201410
Australia,-27.4710,153.0235,Other,2014-10-20,1,0,1,100,0,201410
Australia,-27.4710,153.0235,Other,2014-11-13,1,0,1,100,0,201411
Australia,-27.4710,153.0235,Other,2015-01-12,1,0,1,0,5,201501
Australia,-27.4710,153.0235,Other,2015-02-02,1,1,1,0,23,201502
Australia,-27.4710,153.0235,Other,2015-02-06,1,0,1,0,12,201502
Australia,-27.4710,153.0235,Other,2015-02-24,1,0,1,0,3,201502
Australia,-27.4710,153.0235,Other,2015-03-09,1,0,1,0,5,201503
Australia,-27.4710,153.0235,Other,2015-03-26,2,0,3,0,4,201503
Australia,-27.4710,153.0235,Other,2015-03-30,2,1,2,0,144,201503
Australia,-27.4710,153.0235,Other,2015-04-13,1,0,1,0,1,201504
Australia,-27.4710,153.0235,Other,2015-04-30,2,0,2,0,12,201504
Australia,-27.4710,153.0235,Other,2015-06-02,1,0,1,0,0,201506
Australia,-27.4710,153.0235,Other,2014-11-27,1,1,1,0,121,201411
Australia,-27.4710,153.0235,Other,2014-04-27,1,1,1,100,0,201404
Australia,-27.4710,153.0235,Other,2014-08-09,1,1,1,100,0,201408
Australia,-27.4710,153.0235,Other,2014-06-08,1,1,1,100,0,201406
Australia,-27.4710,153.0235,Other,2014-06-09,2,1,2,50,225,201406
Australia,-27.4710,153.0235,Other,2014-06-10,2,1,3,66.66666666666666,528,201406
Australia,-27.4710,153.0235,Other,2014-09-24,1,1,1,0,16,201409
Australia,-27.4710,153.0235,Other,2014-11-17,1,0,1,100,0,201411
Australia,-27.4710,153.0235,Other,2015-03-30,1,0,1,0,302,201503
Australia,-28.0173,153.4257,Other,2014-06-13,1,1,1,0,9,201406
Australia,-30.2900,153.0972,Other,2015-05-22,1,1,1,0,31,201505
Australia,-31.9530,115.8575,Other,2014-05-12,1,1,1,0,55,201405
Australia,-31.9530,115.8575,Other,2014-06-05,1,1,1,100,0,201406
Australia,-31.9530,115.8575,Other,2014-10-23,1,1,1,100,0,201410
Australia,-31.9535,115.8570,Other,2015-03-12,1,1,1,0,116,201503
Australia,-33.8675,151.2070,Other,2015-03-26,1,1,1,100,0,201503
Australia,-33.8675,151.2070,Other,2015-03-27,1,1,1,100,0,201503
Australia,-33.8675,151.2070,Other,2015-05-25,1,1,1,0,0,201505
Australia,-33.8675,151.2070,Other,2014-10-30,1,1,1,100,0,201410
Australia,-33.8675,151.2070,Other,2013-11-21,1,1,1,100,0,201311
Australia,-33.8675,151.2070,Other,2014-08-14,1,1,1,100,0,201408
Australia,-33.8675,151.2070,Other,2015-03-25,1,1,2,0,1418,201503
Australia,-33.8675,151.2070,Other,2015-04-28,2,2,2,50,0,201504
Australia,-34.9286,138.6000,Other,2015-04-28,1,1,1,0,120,201504
Australia,-34.9286,138.6000,Other,2014-11-27,1,1,1,0,130,201411
Australia,-34.9286,138.6000,Other,2014-06-19,2,2,2,0,217,201406
Australia,-34.9286,138.6000,Other,2015-03-18,1,1,1,100,0,201503
Australia,-34.9286,138.6000,Other,2014-08-19,1,1,1,100,0,201408
Australia,-35.1210,139.2537,Other,2014-09-04,1,1,1,100,0,201409
Australia,-35.1251,147.3496,Other,2015-06-04,1,1,1,0,176,201506
Australia,-35.2820,149.1287,Other,2015-03-26,1,1,1,0,339,201503
Australia,-35.2820,149.1287,Other,2015-02-25,1,1,1,0,1,201502
Australia,-37.8141,144.9633,Other,2014-06-15,1,1,1,100,0,201406
Australia,-37.8141,144.9633,Other,2015-04-03,1,1,1,100,0,201504
Australia,-37.8141,144.9633,Other,2015-06-02,1,1,1,0,1,201506
Australia,-37.8141,144.9633,Other,2014-06-09,1,1,1,0,418,201406
Australia,-37.8141,144.9633,Other,2014-08-07,1,1,1,0,20,201408
Australia,-37.8141,144.9633,Other,2015-02-06,1,1,1,0,59,201502
Australia,-37.8141,144.9633,Other,2015-06-02,4,4,4,0,210,201506
Australia,-37.8141,144.9633,Other,2015-05-30,1,1,1,100,0,201505
Australia,-37.8141,144.9633,Other,2014-09-12,2,2,2,0,567,201409
Australia,-37.8141,144.9633,Other,2014-09-22,1,1,1,0,35,201409
Australia,-37.8141,144.9633,Other,2015-06-04,1,1,1,0,0,201506
Australia,-37.8141,144.9633,Other,2014-03-24,1,1,1,100,0,201403
Australia,-37.8141,144.9633,Other,2014-10-19,1,1,1,100,0,201410
Australia,-37.8141,144.9633,Other,2014-06-16,1,1,1,0,61,201406
Australia,-37.8141,144.9633,Other,2014-08-21,1,1,1,100,0,201408
Australia,-37.8141,144.9633,Other,2014-06-20,1,1,1,100,0,201406
Australia,-38.1500,144.3500,Other,2015-04-13,2,2,2,0,142,201504
Australia,-38.1500,144.3500,Other,2015-05-05,1,1,1,0,66,201505
Australia,-38.1500,144.3500,Other,2015-05-06,1,0,2,0,1103,201505
Australia,-38.1500,144.3500,Other,2015-05-11,2,1,2,0,2,201505
Austria,46.6279,14.3090,Other,2015-04-28,1,1,1,0,80,201504
Austria,47.0707,15.4395,Other,2014-03-13,1,1,1,100,0,201403
Austria,47.0707,15.4395,Other,2014-03-13,1,1,1,100,0,201403
Austria,47.4124,9.7438,Other,2015-06-03,1,1,1,100,0,201506
Austria,47.5007,9.7423,Other,2015-05-29,1,1,1,100,0,201505
Austria,48.2082,16.3738,Other,2013-08-30,1,1,1,0,76,201308
Austria,48.2082,16.3738,Other,2015-05-26,1,1,1,100,0,201505
Austria,48.3069,14.2858,Other,2015-03-27,1,1,1,100,0,201503
Austria,48.3099,16.3238,Other,2013-09-30,1,1,1,100,0,201309
Belarus,0.0000,0.0000,Other,2015-05-28,1,1,1,100,0,201505
Belgium,0.0000,0.0000,Other,2015-06-03,1,1,1,100,0,201506
Belgium,50.6056,3.3879,Other,2013-11-16,1,1,1,100,0,201311
Belgium,50.8424,4.4239,Other,2014-04-23,1,1,1,0,336,201404
Belgium,50.8833,4.7000,Other,2014-09-09,1,1,1,100,0,201409
Belgium,50.9529,4.3116,Other,2014-05-09,1,1,1,100,0,201405
Belgium,51.0333,5.3833,Other,2014-08-14,1,1,1,100,0,201408
Belgium,51.2194,4.4025,Other,2014-11-02,1,1,1,100,0,201411
Bolivia,0.0000,0.0000,Other,2015-03-24,1,1,1,100,0,201503
Brazil,-12.9149,-38.4640,Other,2014-02-25,1,1,1,100,0,201402
Brazil,-15.7942,-47.8825,Other,2014-10-17,1,1,1,100,0,201410
Brazil,-15.7942,-47.8825,Other,2014-05-26,1,1,1,100,0,201405
Brazil,-18.1760,-43.7142,Other,2014-02-18,1,1,1,100,0,201402
Brazil,-19.9245,-43.9352,Other,2015-03-20,1,1,1,100,0,201503
Brazil,-20.0447,-44.5878,Other,2015-06-10,1,1,1,100,0,201506
Brazil,-20.2976,-40.2958,Other,2015-03-20,1,1,1,100,0,201503
Brazil,-20.5394,-47.4014,Other,2014-04-09,1,1,1,100,0,201404
Brazil,-21.2219,-43.7707,Other,2014-05-02,1,1,1,100,0,201405
Brazil,-21.4173,-45.9420,Other,2014-02-18,1,1,1,100,0,201402
Brazil,-22.2176,-49.9505,Other,2015-03-25,1,1,1,100,0,201503
Brazil,-22.9083,-43.1970,Other,2015-06-10,1,1,1,100,0,201506
Brazil,-22.9083,-43.1970,Other,2015-03-17,1,1,1,100,0,201503
Brazil,-22.9083,-43.1970,Other,2015-04-01,1,1,1,100,0,201504
Brazil,-22.9133,-43.2006,Other,2014-05-29,1,1,1,100,0,201405
Brazil,-23.2927,-51.1732,Other,2014-01-08,1,1,1,0,24,201401
Brazil,-23.5065,-46.8737,Other,2014-02-21,1,1,1,100,0,201402
Brazil,-23.5240,-46.8411,Other,2014-02-22,1,1,1,100,0,201402
Brazil,-23.5489,-46.6388,Other,2013-09-20,1,1,1,100,0,201309
Brazil,-23.5505,-46.6333,Other,2015-03-27,1,1,1,100,0,201503
Brazil,-23.5505,-46.6333,Other,2014-01-24,1,1,1,0,65,201401
Brazil,-23.5505,-46.6333,Other,2014-02-25,1,1,1,100,0,201402
Brazil,-23.5505,-46.6333,Other,2014-05-17,1,1,1,100,0,201405
Brazil,-23.5505,-46.6333,Other,2014-09-27,1,1,1,100,0,201409
Brazil,-23.5505,-46.6333,Other,2014-05-25,1,1,1,100,0,201405
Brazil,-23.5505,-46.6333,Other,2015-03-24,2,2,2,100,0,201503
Brazil,-23.5505,-46.6333,Other,2015-03-26,1,1,1,100,0,201503
Brazil,-23.5505,-46.6333,Other,2015-06-03,1,1,1,100,0,201506
Brazil,-23.5505,-46.6333,Other,2014-02-19,1,1,1,100,0,201402
Brazil,-23.5505,-46.6333,Other,2014-02-23,1,1,1,100,0,201402
Brazil,-23.5505,-46.6333,Other,2014-04-25,1,1,1,100,0,201404
Brazil,-23.5505,-46.6333,Other,2014-05-28,1,1,1,100,0,201405
Brazil,-23.5505,-46.6333,Other,2015-03-27,1,1,1,100,0,201503
Brazil,-23.8705,-46.3049,Other,2014-02-23,1,1,1,100,0,201402
Brazil,-25.4809,-49.3044,Other,2014-02-21,1,1,1,100,0,201402
Brazil,-26.2677,-48.9203,Other,2014-02-17,1,1,1,100,0,201402
Brazil,-26.3044,-48.8464,Other,2015-03-17,1,1,1,100,0,201503
Brazil,-27.1354,-48.9001,Other,2014-02-20,1,1,1,100,0,201402
Brazil,-28.7056,-49.3856,Other,2014-02-26,1,1,1,100,0,201402
Brazil,-3.0946,-60.0079,Other,2014-02-15,1,1,1,100,0,201402
Brazil,-3.7319,-38.5267,Other,2015-03-22,1,1,1,100,0,201503
Brazil,-30.0347,-51.2177,Other,2015-05-24,1,1,1,0,0,201505
Brazil,-30.0347,-51.2177,Other,2015-06-03,1,1,1,100,0,201506
Brazil,-31.7766,-52.3520,Other,2014-05-17,1,1,1,100,0,201405
Brazil,-7.1762,-34.8845,Other,2014-02-18,1,1,1,100,0,201402
Brazil,0.0000,0.0000,Other,2014-05-14,1,1,1,100,0,201405
Brazil,0.0000,0.0000,Other,2014-06-07,1,1,1,100,0,201406
Brazil,0.0000,0.0000,Other,2014-02-25,1,1,1,100,0,201402
Brazil,0.0000,0.0000,Other,2014-04-17,1,1,1,100,0,201404
Brazil,0.0000,0.0000,Other,2014-05-15,1,1,1,100,0,201405
Brazil,0.0000,0.0000,Other,2014-02-16,1,1,1,100,0,201402
Brazil,0.0000,0.0000,Other,2014-02-25,1,1,1,0,0,201402
Brazil,0.0000,0.0000,Other,2014-06-12,1,1,1,100,0,201406
Brazil,0.0000,0.0000,Other,2014-02-16,1,1,1,100,0,201402
Brazil,2.8235,-60.6759,Other,2015-04-03,1,1,1,100,0,201504
Bulgaria,42.6977,23.3219,Other,2015-06-07,1,1,1,100,0,201506
Bulgaria,42.6978,23.3217,Other,2014-06-02,1,1,1,100,0,201406
Bulgaria,43.2141,27.9147,Other,2015-01-21,1,1,1,100,0,201501
Bulgaria,43.8356,25.9657,Other,2015-05-26,1,1,1,100,0,201505
Burkina Faso,0.0000,0.0000,Other,2014-06-11,1,1,2,50,0,201406
Canada,0.0000,0.0000,Other,2015-06-10,1,1,1,100,0,201506
Canada,43.4500,-80.4833,Other,2015-03-25,1,1,1,100,0,201503
Canada,43.6532,-79.3832,Other,2015-06-03,1,1,1,100,0,201506
Canada,43.6532,-79.3832,Other,2014-03-17,1,1,2,50,1313,201403
Canada,43.6532,-79.3832,Other,2014-07-19,1,1,1,0,138,201407
Canada,43.8372,-79.5083,Other,2013-11-11,1,1,1,0,70,201311
Canada,43.8509,-79.0204,Other,2013-10-25,1,1,1,0,59,201310
Canada,45.4010,-71.8824,Other,2015-03-25,1,1,1,100,0,201503
Canada,45.4215,-75.6972,Other,2013-11-25,1,1,1,100,0,201311
Canada,45.5017,-73.5673,Other,2015-03-30,1,1,1,100,0,201503
Canada,45.5369,-73.5107,Other,2013-11-12,1,1,1,100,0,201311
Canada,45.5369,-73.5107,Other,2013-12-05,1,0,1,100,0,201312
Canada,46.0279,-74.0637,Other,2015-03-27,1,1,1,100,0,201503
Canada,46.7404,-71.2363,Other,2014-04-04,1,1,1,100,0,201404
Canada,48.4284,-123.3656,Other,2015-02-11,1,1,1,0,0,201502
Canada,49.1579,-121.9515,Other,2015-06-08,1,1,1,100,0,201506
Canada,49.3237,-117.6593,Other,2015-05-30,1,1,1,100,0,201505
Canada,49.8998,-97.1375,Other,2014-05-25,1,1,1,0,89,201405
Canada,49.8998,-97.1375,Other,2013-11-04,1,1,1,100,0,201311
Canada,50.4547,-104.6067,Other,2014-05-16,1,1,1,100,0,201405
Canada,50.4547,-104.6067,Other,2014-06-24,1,1,1,100,0,201406
Canada,50.4547,-104.6067,Other,2015-03-14,1,1,1,0,0,201503
Canada,51.0453,-114.0581,Other,2014-07-22,1,1,1,100,0,201407
Canada,52.1332,-106.6701,Other,2015-03-30,1,1,1,100,0,201503
Canada,53.4114,-117.5639,Other,2014-06-22,1,1,1,100,0,201406
Canada,53.5444,-113.4909,Other,2015-04-22,1,1,1,0,0,201504
Canada,53.5444,-113.4909,Other,2014-03-21,1,1,1,100,0,201403
Canada,53.5444,-113.4909,Other,2014-01-29,1,1,1,100,0,201401
Canada,56.2524,-120.8464,Other,2014-06-27,1,1,1,100,0,201406
Chile,-22.4537,-68.9253,Other,2015-05-25,1,1,1,100,0,201505
Chile,-33.0456,-71.6204,Other,2014-02-16,1,1,1,0,118,201402
Chile,-33.4691,-70.6420,Other,2013-11-26,1,1,1,100,0,201311
Chile,-33.4691,-70.6420,Other,2015-03-22,1,1,1,100,0,201503
Chile,-33.4691,-70.6420,Other,2015-06-02,1,1,1,100,0,201506
China,0.0000,0.0000,Other,2015-01-10,1,1,1,100,0,201501
China,0.0000,0.0000,Other,2015-06-10,1,1,1,100,0,201506
China,22.2707,113.5767,Other,2015-03-30,1,1,1,100,0,201503
China,22.5431,114.0579,Other,2014-06-18,1,1,1,0,127,201406
China,22.5431,114.0579,Other,2014-04-04,1,1,1,100,0,201404
China,22.5431,114.0579,Other,2015-05-17,1,1,1,100,0,201505
China,22.8170,108.3665,Other,2014-12-01,2,1,2,100,0,201412
China,23.0215,113.1214,Other,2015-06-10,1,1,1,100,0,201506
China,23.1291,113.2644,Other,2015-06-03,1,1,1,100,0,201506
China,23.1291,113.2644,Other,2015-03-24,1,1,1,100,0,201503
China,23.1291,113.2644,Other,2015-06-10,1,1,1,100,0,201506
China,23.1292,113.2644,Other,2014-04-07,1,1,1,100,0,201404
China,24.5129,117.6475,Other,2015-03-18,1,1,1,100,0,201503
China,26.6418,118.1777,Other,2015-03-25,1,1,1,100,0,201503
China,27.2389,111.4678,Other,2015-03-25,1,1,1,100,0,201503
China,27.7001,111.9935,Other,2015-03-17,1,1,1,100,0,201503
China,27.9943,120.6994,Other,2015-06-08,1,1,1,100,0,201506
China,28.4676,119.9228,Other,2015-03-25,1,1,1,100,0,201503
China,28.6829,115.8582,Other,2015-05-28,1,1,1,100,0,201505
China,29.5630,106.5516,Other,2015-04-27,1,1,1,0,95,201504
China,29.5630,106.5516,Other,2015-06-03,2,2,2,100,0,201506
China,29.5630,106.5516,Other,2015-06-04,1,1,1,100,0,201506
China,29.5630,106.5516,Other,2015-06-06,1,1,1,100,0,201506
China,29.9805,103.0133,Other,2015-03-22,1,1,1,100,0,201503
China,30.2741,120.1551,Other,2015-03-17,1,1,1,100,0,201503
China,30.2741,120.1551,Other,2015-03-25,1,1,1,100,0,201503
China,30.5723,104.0665,Other,2015-03-17,1,1,1,100,0,201503
China,30.5723,104.0665,Other,2015-03-27,1,1,1,100,0,201503
China,30.5931,114.3054,Other,2015-04-28,1,1,1,0,70,201504
China,30.9455,117.8113,Other,2015-03-25,1,1,1,100,0,201503
China,31.2304,121.4737,Other,2014-08-24,1,1,1,100,0,201408
China,31.2304,121.4737,Other,2015-04-16,1,1,1,100,0,201504
China,31.2304,121.4737,Other,2014-08-05,1,1,2,100,0,201408
China,31.2304,121.4737,Other,2015-03-22,1,1,1,100,0,201503
China,31.2304,121.4737,Other,2015-03-26,1,1,1,100,0,201503
China,31.2304,121.4737,Other,2014-04-01,1,1,1,100,0,201404
China,31.2989,120.5853,Other,2014-05-26,1,1,1,100,0,201405
China,33.8446,115.7787,Other,2015-05-30,1,1,1,100,0,201505
China,33.9558,116.7983,Other,2015-06-07,1,1,1,100,0,201506
China,33.9558,116.7983,Other,2015-06-09,1,1,1,0,0,201506
China,34.7470,113.6258,Other,2015-03-27,1,1,1,100,0,201503
China,34.7470,113.6258,Other,2015-04-03,1,1,1,100,0,201504
China,34.7470,113.6258,Other,2015-05-17,1,1,1,100,0,201505
China,35.1047,118.3565,Other,2015-06-04,1,1,1,100,0,201506
China,36.0611,103.8343,Other,2015-05-30,1,1,1,100,0,201505
China,36.0671,120.3826,Other,2015-04-28,1,1,1,100,0,201504
China,37.0706,114.5048,Other,2015-05-18,1,1,1,0,0,201505
China,37.7389,115.6702,Other,2015-03-26,1,1,1,100,0,201503
China,37.9975,106.1984,Other,2015-03-17,1,1,1,100,0,201503
China,39.0842,117.2010,Other,2015-06-03,1,1,1,100,0,201506
China,39.6309,118.1802,Other,2015-03-26,1,1,1,100,0,201503
China,39.9040,116.4075,Other,2014-10-14,1,1,1,100,0,201410
China,39.9040,116.4075,Other,2013-10-31,1,1,1,100,0,201310
China,39.9040,116.4075,Other,2014-04-04,1,1,1,100,0,201404
China,39.9042,116.4074,Other,2015-04-22,1,1,1,100,0,201504
China,39.9042,116.4074,Other,2015-03-30,1,1,1,100,0,201503
China,39.9042,116.4074,Other,2015-04-16,1,1,1,100,0,201504
China,39.9042,116.4074,Other,2015-05-09,1,1,1,0,0,201505
China,39.9042,116.4074,Other,2015-05-28,1,1,1,100,0,201505
China,40.7432,107.3877,Other,2015-06-07,1,1,1,100,0,201506
China,41.8809,123.9572,Other,2015-03-25,1,1,1,100,0,201503
China,43.1664,124.3504,Other,2015-05-02,1,1,1,100,0,201505
China,45.8038,126.5350,Other,2013-11-10,1,1,1,100,0,201311
China,45.8038,126.5350,Other,2015-06-04,1,1,1,100,0,201506
China,46.5893,125.1038,Other,2015-03-26,1,1,1,100,0,201503
China,46.5893,125.1038,Other,2015-03-27,1,1,1,100,0,201503
China,49.2116,119.7657,Other,2015-06-08,1,1,1,100,0,201506
Colombia,4.0833,-76.2000,Other,2015-03-26,1,1,1,100,0,201503
